,ANO,UF,RACACOR,TOTAL_POPULATION,PERCENTAGE_TOTAL_POPULATION,TOTAL_SUICIDALS,PERCENTAGE_TOTAL_SUICIDALS,PERCENTAGE_SUICIDALS
72,2021,Paraná,Branca,7645440,0.66,735,0.7115198451113263,9.613573581115017e-05
73,2021,Santa Catarina,Branca,6008140,0.82,717,0.8819188191881919,0.00011933809798040659
74,2021,Rio Grande do Sul,Branca,9272880,0.81,1324,0.9000679809653297,0.0001427819620225863
75,2021,Mato Grosso do Sul,Branca,1190240,0.4343434343434343,96,0.3276450511945392,8.065600215082673e-05
76,2021,Mato Grosso,Branca,1018479,0.2929290895656708,82,0.3346938775510204,8.051221478302449e-05
77,2021,Goiás,Branca,2306880,0.3232323232323232,196,0.3141025641025641,8.496324039395201e-05
78,2021,Distrito Federal,Branca,1174960,0.3838383838383838,74,0.3978494623655914,6.298086743378498e-05
79,2019,Rondônia,Preta,123690,0.0707070707070707,2,0.0150375939849624,1.6169455897809037e-05
80,2019,Pará,Preta,684880,0.0816326530612244,15,0.0464396284829721,2.190164700385469e-05
81,2019,Amapá,Preta,67040,0.08,2,0.0333333333333333,2.983293556085919e-05
82,2019,Tocantins,Preta,187200,0.1224489795918367,10,0.08,5.341880341880342e-05
83,2019,Maranhão,Preta,915330,0.13,23,0.0787671232876712,2.5127549626910514e-05
84,2019,Piauí,Preta,327200,0.1,18,0.0596026490066225,5.501222493887531e-05
85,2019,Ceará,Preta,547740,0.0606060606060606,8,0.0134453781512605,1.4605469748420783e-05
86,2019,Rio Grande do Norte,Preta,280560,0.0808080808080808,4,0.0207253886010362,1.42571998859424e-05
87,2019,Paraíba,Preta,279790,0.0707070707070707,6,0.0273972602739726,2.144465491976125e-05
88,2019,Pernambuco,Preta,664930,0.0707070707070707,13,0.0306603773584905,1.955093017310093e-05
89,2019,Sergipe,Preta,229900,0.1010101453904619,5,0.0446428571428571,2.174858634188778e-05
90,2019,Bahia,Preta,3416420,0.2323232323232323,74,0.1211129296235679,2.16601003389513e-05
91,2019,Minas Gerais,Preta,2327380,0.1111111111111111,113,0.0686512758201701,4.855244953552922e-05
92,2019,Espírito Santo,Preta,441650,0.11,17,0.0769230769230769,3.849201856673837e-05
93,2019,RJ,Preta,2416960,0.14,59,0.1070780399274047,2.44108301337217e-05
94,2019,SP,Preta,3673040,0.0816326548754955,94,0.0420205632543585,2.5591880295341188e-05
95,2019,Paraná,Preta,456840,0.0404040404040404,33,0.0367483296213808,7.223535592329919e-05
96,2019,Santa Catarina,Preta,214590,0.03,21,0.0271668822768434,9.786103732699566e-05
97,2019,Rio Grande do Sul,Preta,681540,0.06,67,0.0475514549325762,9.83067758312058e-05
98,2019,Mato Grosso do Sul,Preta,162540,0.0612244897959183,8,0.0305343511450381,4.921865386981666e-05
99,2019,Mato Grosso,Preta,411720,0.1212121212121212,15,0.0663716814159292,3.643252696006995e-05
100,2019,Goiás,Preta,631890,0.0909090909090909,29,0.0525362318840579,4.5894063840225354e-05
101,2019,Distrito Federal,Preta,331430,0.11,6,0.0306122448979591,1.8103370244093775e-05
102,2020,Rondônia,Preta,107160,0.0606060606060606,6,0.0444444444444444,5.5991041433370664e-05
103,2020,Acre,Preta,35120,0.0408163265306122,2,0.0289855072463768,5.6947608200455584e-05
104,2020,Amazonas,Preta,80880,0.0206185567010309,7,0.022508038585209,8.654797230464886e-05
105,2020,Pará,Preta,605430,0.0707070707070707,20,0.0546448087431694,3.3034372264341046e-05
106,2020,Amapá,Preta,42650,0.05,4,0.0909090909090909,9.378663540445487e-05
107,2020,Tocantins,Preta,189240,0.1224489795918367,16,0.1509433962264151,8.454872120059185e-05
108,2020,Maranhão,Preta,778800,0.11,13,0.0440677966101694,1.6692347200821776e-05
109,2020,Piauí,Preta,295290,0.09,22,0.0721311475409836,7.450303091875783e-05
110,2020,Ceará,Preta,459200,0.0505050560598423,6,0.010752688172043,1.3066202090592334e-05
111,2020,Rio Grande do Norte,Preta,247380,0.0707070707070707,2,0.0093457943925233,8.084727948904519e-06
