,ANO,UF,RACACOR,TOTAL_PESSOAS,sim_total/sum_pessoas_racacor
288,2021,RO,Parda,88,0.6153846153846154
289,2021,RO,Preta,9,0.06293706293706294
290,2021,RR,Branca,3,0.06818181818181818
291,2021,RR,Indígena,16,0.36363636363636365
292,2021,RR,Parda,24,0.5454545454545454
293,2021,RR,Preta,1,0.022727272727272728
294,2021,RS,Amarela,1,0.0006798096532970768
295,2021,RS,Branca,1324,0.9000679809653297
296,2021,RS,Indígena,1,0.0006798096532970768
297,2021,RS,Parda,77,0.052345343303874914
298,2021,RS,Preta,68,0.046227056424201225
299,2021,SC,Branca,717,0.8819188191881919
300,2021,SC,Indígena,3,0.0036900369003690036
301,2021,SC,Parda,75,0.09225092250922509
302,2021,SC,Preta,18,0.02214022140221402
303,2021,SE,Branca,11,0.088
304,2021,SE,Parda,107,0.856
305,2021,SE,Preta,7,0.056
306,2021,SP,Amarela,20,0.008244023083264633
307,2021,SP,Branca,1658,0.683429513602638
308,2021,SP,Indígena,2,0.0008244023083264633
309,2021,SP,Parda,631,0.26009892827699915
310,2021,SP,Preta,115,0.04740313272877164
311,2021,TO,Branca,25,0.16025641025641027
312,2021,TO,Indígena,2,0.01282051282051282
313,2021,TO,Parda,110,0.7051282051282052
314,2021,TO,Preta,19,0.12179487179487179
