,ANO,UF,ESTADO,RACACOR,TOTAL_POPULATION,PERCENTAGE_OF_TOTAL,TOTAL_SUICIDALS,percentage_of_total
191,2020,PE,Pernambuco,Parda,6012611.0,63.663967611336034,318,74.82352941176471
192,2020,AL,Alagoas,Parda,2260544.0,68.28282828282828,157,99.36708860759494
193,2020,SE,Sergipe,Parda,1660404.0,71.95979899497488,109,85.15625
194,2020,BA,Bahia,Parda,8693113.0,58.71097683786506,536,77.34487734487735
195,2020,MG,Minas Gerais,Parda,10598436.0,49.849849849849846,644,42.22950819672131
196,2020,ES,Espírito Santo,Parda,2094960.0,51.80722891566265,129,59.44700460829493
197,2020,RJ,Rio de Janeiro,Parda,7206890.0,41.66666666666667,251,33.78196500672948
198,2020,SP,São Paulo,Parda,14810560.0,32.58655804480652,614,27.883742052679384
199,2020,PR,Paraná,Parda,3485409.0,30.761421319796955,195,22.285714285714285
200,2020,SC,Santa Catarina,Parda,1020981.0,14.14242728184554,72,9.690444145356665
201,2020,RS,Rio Grande do Sul,Parda,1471116.0,12.938816449348046,59,4.175513092710545
202,2020,MS,Mato Grosso do Sul,Parda,1336632.0,49.745158002038735,120,50.42016806722689
203,2020,MT,Mato Grosso,Parda,2072784.0,60.18145161290322,116,52.25225225225225
204,2020,GO,Goiás,Parda,4070352.0,57.42971887550201,330,59.35251798561151
205,2020,DF,Distrito Federal,Parda,1547871.0,51.16044399596368,90,46.63212435233161
206,2021,RO,Rondônia,Parda,1099245.0,61.329305135951664,88,61.53846153846154
207,2021,AC,Acre,Parda,685300.0,78.09330628803245,53,82.8125
208,2021,AM,Amazonas,Parda,3287304.0,82.23819301848049,202,68.70748299319727
209,2021,RR,Roraima,Parda,394596.0,71.36842105263158,24,54.54545454545454
210,2021,PA,Pará,Parda,6420225.0,74.24242424242425,317,84.98659517426273
211,2021,AP,Amapá,Parda,671737.0,77.68844221105527,46,95.83333333333334
212,2021,TO,Tocantins,Parda,1080732.0,68.76267748478702,110,70.51282051282051
213,2021,MA,Maranhão,Parda,5068016.0,71.84661957618566,230,70.76923076923077
214,2021,PI,Piauí,Parda,2351635.0,71.6432865731463,270,76.92307692307693
215,2021,CE,Ceará,Parda,6254126.0,68.24596774193549,683,86.34639696586599
216,2021,RN,Rio Grande do Norte,Parda,1862403.0,52.45737211634904,183,78.2051282051282
217,2021,PB,Paraíba,Parda,2418762.0,60.26156941649899,216,84.375
218,2021,PE,Pernambuco,Parda,5808064.0,61.01010101010102,392,74.24242424242425
219,2021,AL,Alagoas,Parda,2169268.0,65.18668012108981,142,97.93103448275862
220,2021,SE,Sergipe,Parda,1573474.0,67.570281124498,107,85.6
221,2021,BA,Bahia,Parda,8814974.0,59.43491422805247,597,75.37878787878788
222,2021,MG,Minas Gerais,Parda,10208277.0,47.79559118236472,730,44.10876132930513
223,2021,ES,Espírito Santo,Parda,2134600.0,52.26130653266332,123,61.5
224,2021,RJ,Rio de Janeiro,Parda,7020126.0,40.524193548387096,336,38.53211009174312
225,2021,SP,São Paulo,Parda,15298904.0,33.33333333333333,631,26.009892827699915
226,2021,PR,Paraná,Parda,3452032.0,30.1010101010101,256,24.78218780251694
227,2021,SC,Santa Catarina,Parda,1077069.0,14.759036144578314,75,9.22509225092251
228,2021,RS,Rio Grande do Sul,Parda,1511136.0,13.239719157472418,77,5.234534330387492
229,2021,MS,Mato Grosso do Sul,Parda,1372928.0,50.253292806484296,149,50.85324232081911
230,2021,MT,Mato Grosso,Parda,2100176.0,60.46511627906976,138,56.326530612244895
231,2021,GO,Goiás,Parda,4231683.0,58.99497487437186,388,62.17948717948718
232,2021,DF,Distrito Federal,Parda,1549092.0,50.60606060606061,102,54.83870967741935
