,ANO,UF,ESTADO,RACACOR,TOTAL,percentage_of_total
305,2021,SE,Sergipe,Preta,7,5.6000000000000005
306,2021,SP,São Paulo,Amarela,20,0.8244023083264632
307,2021,SP,São Paulo,Branca,1658,68.34295136026381
308,2021,SP,São Paulo,Indígena,2,0.08244023083264633
309,2021,SP,São Paulo,Parda,631,26.009892827699915
310,2021,SP,São Paulo,Preta,115,4.740313272877164
311,2021,TO,Tocantins,Branca,25,16.025641025641026
312,2021,TO,Tocantins,Indígena,2,1.282051282051282
313,2021,TO,Tocantins,Parda,110,70.51282051282051
314,2021,TO,Tocantins,Preta,19,12.179487179487179
